_id,title,instructor,level,songs,videoUrl,thumbnailSlug
5f0bcb7cad9b2a576eb10128,Full Body Pop,Slim Boogie,Beginner,Devin,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb10129,Sexy Walk,Anna Morrell,Beginner,Señorita,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb1012a,Neck Pop,Slim Boogie,Beginner,fLako_Push,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb1012b,Booty Dip,Anna Morrell,Beginner,"Don't Cha",https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb1012c,Side To Side Sexy Walk + High & Low Circles,Anna Morrell,Beginner,Peace Sign,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb1012d,Kangsta Wok,Zaya Sosho,Beginner,Kangsta Wok,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb1012e,25 Min Groove Combo,David Lee,Intermediate,"Money In The Grave,Taste,Need a Stack,Windows,Pure Water",https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb1012f,My Type (Clean) - Saweetie,David Lee,Intermediate,My Type,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb10130,Dance Like Beyonce,Harlie Ramirez,Beginner,"Formation,Single Ladies,Partition,Crazy In Love,Diva",https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
5f0bcb7cad9b2a576eb10131,Truth Hurts - Lizzo,Harlie Ramirez,Intermediate,Truth Hurts,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-1.jpg
5f0bcb7cad9b2a576eb10132,Captions - Tron Austin,Phil Wright,Intermediate,Captions,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-2.jpg
5f0bcb7cad9b2a576eb10133,Throw It Back - Missy Elliot,David Lee,Intermediate,Throw It Back,https://www.youtube.com/watch?v=YE7VzlLtp-4,class-thumbnail-3.jpg
